County Code,District Code,School Code,County Name,District Name,School Name,Grade Span,StudentDeviceRation,InternetSpeed,RecommendedInternetSpeed,MetRecommendedSpeed,ConnectivityBetweenSchools,RecommendedConnectivity,MetRecommendedConnectivity,ValidScores_Math,ParticipationPercent_Math,SchoolPerformance_Math,DistrictPerformance_Math,StatePerformance_Math,ProfRateFederalAccountability_Math,AnnualTarget_Math,MetTarget_Math,ValidScores_ELA,ParticipationPercent_ELA,SchoolPerformance_ELA,DistrictPerformance_ELA,StatePerformance_ELA,ProfRateFederalAccountability_ELA,AnnualTarget_ELA,MetTarget_ELA,Percent_white,Percent_blck,Percent_hisp,Percent_asian,Percent_econdis
3,4870,50,BERGEN,SOUTH HACKENSACK TWP,Memorial School,PK-08,1:0.7,3.7,100 kbps,No,N,Fiber,No,149,93.3,42.30,42.30,43.5,41.1,38.5,Met Target,149,93.1,73.10,73.10,54.9,71.3,65.8,Met Target,27.7,6.3,57.6,6.6,38.4
37,1980,50,SUSSEX,HAMPTON TWP,MARIAN E. MCKEOWN ELEMENTARY SCHOOL,KG-06,1:0.8,5.2,100 kbps,No,Fiber,Fiber,Yes,155,97.0,68.40,68.40,43.5,68.4,61.9,Met Target,155,97.0,68.40,68.40,54.9,68.4,72.8,Met Target†,93.8,1.0,4.1,0.7,14.8
3,1470,60,BERGEN,FAIRVIEW BORO,Lincoln School,04-08,1:0.4,7.0,100 kbps,No,Wireless,Fiber,No,636,98.5,21.00,23.40,43.5,21,22.9,Met Target†,608,98.6,42.60,40.70,54.9,42.6,39.6,Met Target,17.0,1.7,79.4,1.7,72.2
3,1470,80,BERGEN,FAIRVIEW BORO,Number Three School,KG-03,1:0.2,7.0,100 kbps,No,Wireless,Fiber,No,121,99.2,35.60,23.40,43.5,35.6,39.3,Met Target†,118,99.2,30.50,40.70,54.9,30.5,36.2,Met Target†,12.1,1.3,85.8,0.6,81.8
80,6665,930,CHARTERS,Gray CS,The Gray Charter School,KG-08,1:0.3,9.1,100 kbps,No,N,Fiber,No,138,81.5,67.30,67.30,43.5,58.6,49.6,Met Target,138,81.5,77.60,77.60,54.9,67.4,67.9,Met Target†,6.1,39.4,50.3,3.3,78.8
31,5690,60,PASSAIC,WOODLAND PARK,Beatrice Gilmore School,03-04,N,15.4,100 kbps,No,N,Fiber,No,211,95.9,40.20,38.50,43.5,40.2,43.9,Met Target†,211,95.9,43.10,47.80,54.9,43.1,39.6,Met Target,51.4,5.7,37.6,4.9,48.2
31,5690,70,PASSAIC,WOODLAND PARK,Memorial Middle School,05-08,1:0.3,15.4,100 kbps,No,N,Fiber,No,469,98.8,37.70,38.50,43.5,37.7,39.3,Met Target†,469,98.6,49.80,47.80,54.9,49.8,49.5,Met Target,48.7,4.0,42.0,3.0,40.2
80,6915,950,CHARTERS,Jersey City Golden Door Charter School,Jersey City Golden Door Charter School,PK-08,1:0.2,19.1,100 kbps,No,N,Fiber,No,242,98.9,42.60,42.60,43.5,42.6,40.2,Met Target,242,98.9,55.40,55.40,54.9,55.4,48.9,Met Target,8.8,27.1,28.6,34.4,61.1
3,1345,90,BERGEN,ELMWOOD PARK,Sixteenth Avenue School,PK-05,1:0.2,19.3,100 kbps,No,N,Fiber,No,222,98.0,45.00,36.90,43.5,45,46.1,Met Target†,222,96.8,51.80,53.10,54.9,51.8,47.2,Met Target,35.4,11.0,36.9,15.0,44.6
3,1345,80,BERGEN,ELMWOOD PARK,Gilbert Avenue School,PK-05,1:0.3,19.3,100 kbps,No,N,Fiber,No,204,98.7,38.70,36.90,43.5,38.7,52.3,Not Met,204,99.1,60.30,53.10,54.9,60.3,59,Met Target,40.9,16.1,33.9,7.5,44.9
